avg_mean_log_return_20d,std_mean_log_return_20d,avg_volatility_20d,positive_return_ratio_20d,Original_Market_Regime
0.0033242968,0.004825655,0.019058004,0.57349455,0
0.0025840607,0.0046393955,0.020659756,0.54023683,0
0.0017490671,0.0033077293,0.023010418,0.54241395,0
-0.0003886685,0.0051792483,0.019564878,0.51920193,0
0.001855232,0.0031876122,0.020863634,0.5265837,0
0.0017299653,0.0042633917,0.016238736,0.5645662,0
-0.0012982799,0.0050150193,0.019603845,0.5208879,0
-0.0009810139,0.0052530314,0.020187333,0.5136743,0
0.004283492,0.0050628996,0.02590613,0.5600474,0
0.0030010962,0.0047450196,0.022112865,0.55821395,0
0.003301236,0.0034647277,0.02231768,0.5706094,0
0.0012962812,0.0043345713,0.016436057,0.5494467,0
0.00047649653,0.0041634627,0.015934387,0.52809197,0
0.0039691464,0.0049439296,0.022779746,0.55880684,0
0.0048705842,0.004082069,0.02282813,0.5767572,0
-0.0026605385,0.005321309,0.025869548,0.49541372,0
0.002021752,0.0047106994,0.019477347,0.5438743,0
0.00066307484,0.0043002744,0.02240773,0.5292615,0
-0.002311477,0.0058241547,0.022921842,0.5021378,0
-0.0034330175,0.0041410057,0.030918362,0.48569497,0
0.0016329924,0.004230634,0.019398564,0.5337438,0
-0.00030297192,0.003593713,0.023833,0.5132635,0
0.0004844549,0.0055901655,0.022652386,0.5304252,0
0.0036710452,0.005115186,0.022193367,0.5622075,0
0.0027526198,0.0032199312,0.020531498,0.54903245,0
0.0037983065,0.0044392315,0.018320668,0.59070456,0
0.00059824646,0.0044847424,0.0153682865,0.53709435,0
-0.0013501245,0.0039375317,0.021997148,0.50406736,0
0.0028165649,0.00424693,0.01642906,0.5944096,0
0.0023884505,0.0036594651,0.026783736,0.5361467,0
0.00044433633,0.004374567,0.015295368,0.53124917,0
0.00036946486,0.0042026015,0.019810226,0.51858026,0
0.0014388127,0.0042801346,0.01725831,0.54778266,0
0.0027552862,0.005173132,0.019979835,0.5565697,0
-0.0005496697,0.0033354203,0.025044927,0.5084587,0
0.00079953345,0.0048847944,0.018135447,0.54115444,0
-0.0011768363,0.0051313485,0.026850967,0.5147676,0
0.004916168,0.0059002787,0.021646753,0.5853278,0
0.00018494879,0.0048021576,0.016126176,0.5390462,0
-0.00039920013,0.0042413916,0.02256599,0.51991445,0
-0.00077480765,0.004089017,0.026161605,0.512137,0
0.0014234843,0.004191324,0.017452553,0.5394122,0
0.0018447285,0.004977266,0.01825375,0.5694877,0
0.0019535178,0.0041164043,0.015433465,0.56817394,0
0.0046128086,0.0037799526,0.016027773,0.6273074,0
0.0021708717,0.004045806,0.018801542,0.5490595,0
0.00035397115,0.004736569,0.015576597,0.54047036,0
0.0021098412,0.0043143216,0.020361854,0.5529437,0
0.0020229435,0.004494535,0.017159183,0.55477655,0
0.0034556398,0.004773989,0.018490998,0.5843137,0
0.0006066989,0.0033907166,0.024216149,0.5217984,0
-9.816842e-06,0.004712755,0.018360915,0.5182761,0
0.0014244363,0.0053184917,0.01969962,0.5616693,0
-0.0023528426,0.0044349767,0.021003928,0.5106742,0
-0.0004622949,0.0051317364,0.020512952,0.5185816,0
0.0030350443,0.0034574037,0.01892469,0.5593031,0
-0.0021382133,0.0041529792,0.028633611,0.49759483,0
0.00066027493,0.0045609325,0.016596911,0.5359389,0
0.0048939288,0.0034364953,0.021005047,0.609959,0
-0.00063189433,0.004586269,0.02081342,0.5099977,0
0.0013811381,0.0053069973,0.020245673,0.5430623,0
0.002431501,0.0040594717,0.019775104,0.54913837,0
-0.0006230363,0.0036847917,0.026675545,0.5117185,0
0.0014427949,0.0037128567,0.019554827,0.5273744,0
0.0009431109,0.0026538076,0.025202854,0.5268274,0
0.0042603775,0.00425227,0.024853274,0.5652994,0
0.002583446,0.004961229,0.019690314,0.5630358,0
0.0005780716,0.0030929858,0.026073014,0.52516454,0
0.0043610907,0.0030282305,0.022390224,0.5791557,0
0.004348024,0.004969547,0.02202605,0.57001585,0
0.004224934,0.004880663,0.023575256,0.56166995,0
0.0043808436,0.004821138,0.021281077,0.5797413,0
0.003108249,0.003647519,0.017951997,0.5690793,0
0.005243193,0.0032774764,0.022423243,0.60068846,0
-0.0031950995,0.0042873,0.029111693,0.4879682,0
0.003334422,0.0038300883,0.015900858,0.5901473,0
-0.003115261,0.0043398933,0.03150065,0.4877273,0
0.003371088,0.0038471455,0.015878152,0.5904566,0
0.002055349,0.003630523,0.02011728,0.535501,0
-0.0019579923,0.004826062,0.029943958,0.5027363,0
0.0030266033,0.0045582727,0.019257687,0.5605125,0
0.002561189,0.0051097656,0.021699684,0.548103,0
-0.0010673174,0.0039837826,0.027647095,0.50646585,0
0.0018076954,0.004616912,0.030407095,0.53961116,0
0.0033194295,0.005453439,0.020080535,0.55934995,0
-0.00065971224,0.004953888,0.025322165,0.516749,0
0.00257426,0.0035575537,0.017913293,0.5526215,0
0.0021691155,0.004327275,0.02183182,0.5340149,0
0.0032168853,0.0034792917,0.017672373,0.5572819,0
0.0010623477,0.0037434655,0.018455015,0.51527965,0
0.0012472705,0.0051249545,0.020573547,0.5377645,0
0.0038147164,0.0038714472,0.020384474,0.58921367,0
0.0013452157,0.004105949,0.015409863,0.5465902,0
0.0013057136,0.0044343155,0.022539876,0.5405616,0
9.438209e-05,0.005672649,0.02072057,0.5275628,0
0.00019950513,0.003985764,0.022368096,0.5161049,0
0.0010464889,0.0038594722,0.017454589,0.5197177,0
-0.00088230276,0.004245478,0.027794631,0.509894,0
-0.0008966202,0.0039107446,0.028112521,0.5081832,0
0.0005554204,0.0045188195,0.016797327,0.545321,0
0.0015603286,0.0040078154,0.017722227,0.53549564,0
0.0012287677,0.0046005296,0.015208063,0.5728675,0
0.0024811595,0.0047489246,0.020066876,0.55413514,0
0.0030963062,0.0048597846,0.024252689,0.5387534,0
-0.005160323,0.0044557997,0.03313233,0.46653026,0
0.0034429617,0.004081197,0.019938285,0.58201176,0
-7.065979e-05,0.004543837,0.017992614,0.515555,0
-0.00044749153,0.004470313,0.021387445,0.51611286,0
0.004511694,0.0032940104,0.021322744,0.58349115,0
0.0027147257,0.004851972,0.02404381,0.55237705,0
0.0012561128,0.004275783,0.01723717,0.5360044,0
-2.9583116e-05,0.004419984,0.024270497,0.5196628,0
0.001881395,0.0041019632,0.021572348,0.5510062,0
0.0021217265,0.0027874643,0.02155141,0.53165114,0
-0.0016422736,0.003657939,0.029398816,0.50158626,0
0.0016249786,0.0042212107,0.016704932,0.5537386,0
0.0012724032,0.0038179003,0.01831912,0.527709,0
0.0036964617,0.0034058425,0.017979791,0.57601297,0
0.0003542538,0.0039100666,0.021498417,0.5166804,0
0.00097478984,0.0048328545,0.024270426,0.5305477,0
0.0018589377,0.0029281052,0.02776297,0.5397666,0
0.0004960295,0.004969222,0.02008222,0.52803534,0
0.0020016935,0.00472994,0.01668979,0.58740216,0
0.0006894436,0.004660389,0.017737048,0.5333805,0
0.0018189992,0.0040842714,0.020410322,0.53691053,0
0.005451576,0.004366886,0.020105552,0.59554857,0
0.00092639984,0.0040429193,0.020550746,0.52665657,0
-0.00012474833,0.003445987,0.02761973,0.5120952,0
